time/time_elapsed,time/episodes,rollout/success_rate,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,eval/success_rate,eval/mean_reward,eval/mean_ep_length,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/actor_loss,train/critic_loss,train/n_updates
202,208,0.01,51,10400,-49.66,50.0,,,,0.0009965336666666667,0.6723461747169495,-1.3372266292572021,-9.138809204101562,0.13200490176677704,399
202,209,0.01,51,10450,-49.66,50.0,,,,0.000996517,0.6396896243095398,-1.5072565078735352,-9.204747200012207,0.24313366413116455,449
203,210,0.01,51,10500,-49.66,50.0,,,,0.0009965003333333334,0.6085957884788513,-1.6654709577560425,-8.958410263061523,0.3005162477493286,499
204,211,0.01,51,10550,-49.66,50.0,,,,0.0009964836666666666,0.5790160298347473,-1.835688591003418,-9.121845245361328,0.370358943939209,549
205,212,0.01,51,10600,-49.66,50.0,,,,0.000996467,0.550885021686554,-1.9961085319519043,-9.079296112060547,0.24855348467826843,599
206,213,0.01,51,10650,-49.66,50.0,,,,0.0009964503333333334,0.5241331458091736,-2.1614439487457275,-8.807090759277344,0.1811009645462036,649
206,214,0.01,51,10700,-49.66,50.0,,,,0.0009964336666666667,0.4986877143383026,-2.341212272644043,-8.555097579956055,0.34857356548309326,699
207,215,0.01,51,10750,-49.66,50.0,,,,0.000996417,0.47451502084732056,-2.5047786235809326,-8.118298530578613,0.3699485659599304,749
208,216,0.01,51,10800,-49.66,50.0,,,,0.0009964003333333333,0.4515194892883301,-2.6646416187286377,-7.734493255615234,0.3316958248615265,799
209,217,0.01,51,10850,-49.66,50.0,,,,0.0009963836666666667,0.4296812415122986,-2.8126869201660156,-7.412487030029297,0.6468347311019897,849
209,218,0.01,51,10900,-49.66,50.0,,,,0.000996367,0.4089457392692566,-2.982320785522461,-7.248128890991211,0.4243059754371643,899
210,219,0.01,51,10950,-49.66,50.0,,,,0.0009963503333333334,0.3892100155353546,-3.13563871383667,-6.367054462432861,0.20229396224021912,949
211,220,0.01,51,11000,-49.66,50.0,,,,0.0009963336666666666,0.37041938304901123,-3.301939010620117,-5.999080181121826,0.25060662627220154,999
212,221,0.01,52,11050,-49.66,50.0,,,,0.000996317,0.35262101888656616,-3.4675469398498535,-5.372899055480957,0.33420121669769287,1049
213,222,0.01,52,11100,-49.66,50.0,,,,0.0009963003333333335,0.33567091822624207,-3.6101717948913574,-5.315255165100098,0.48194658756256104,1099
213,223,0.01,52,11150,-49.66,50.0,,,,0.0009962836666666667,0.3195677697658539,-3.6531662940979004,-5.295712947845459,0.531981348991394,1149
214,224,0.01,52,11200,-49.66,50.0,,,,0.0009962670000000001,0.3043065071105957,-3.878234624862671,-4.540738105773926,0.19506707787513733,1199
215,225,0.01,52,11250,-49.66,50.0,,,,0.0009962503333333333,0.2897590398788452,-4.052582263946533,-4.412330627441406,0.22487446665763855,1249
216,226,0.01,52,11300,-49.66,50.0,,,,0.0009962336666666668,0.2759857773780823,-4.276261329650879,-4.333838939666748,0.5151580572128296,1299
217,227,0.01,52,11350,-49.66,50.0,,,,0.000996217,0.26288437843322754,-4.448040008544922,-3.2632100582122803,0.24434515833854675,1349
217,228,0.01,52,11400,-49.66,50.0,,,,0.0009962003333333334,0.25033172965049744,-4.532071590423584,-3.4948976039886475,0.21282804012298584,1399
218,229,0.01,52,11450,-49.66,50.0,,,,0.0009961836666666666,0.23844383656978607,-4.711124897003174,-3.08660888671875,0.1961018294095993,1449
219,230,0.01,52,11500,-49.66,50.0,,,,0.000996167,0.22706057131290436,-4.68518590927124,-2.7181336879730225,0.4284961223602295,1499
220,231,0.01,52,11550,-49.66,50.0,,,,0.0009961503333333333,0.2162417620420456,-4.937733173370361,-2.003973960876465,0.30399757623672485,1549
221,232,0.01,52,11600,-49.66,50.0,,,,0.0009961336666666667,0.20603080093860626,-5.0018157958984375,-1.697037696838379,0.41054588556289673,1599
222,233,0.01,52,11650,-49.66,50.0,,,,0.0009961170000000001,0.196341410279274,-5.240152359008789,-1.5658247470855713,0.22283796966075897,1649
222,234,0.01,52,11700,-49.66,50.0,,,,0.0009961003333333334,0.18713907897472382,-5.273907661437988,-0.9491682052612305,0.2587836980819702,1699
223,235,0.01,52,11750,-49.66,50.0,,,,0.0009960836666666668,0.17833860218524933,-5.298981666564941,-0.7045972347259521,0.3375205993652344,1749
224,236,0.01,52,11800,-49.66,50.0,,,,0.000996067,0.1699463278055191,-5.670838356018066,-0.9231231212615967,0.17886991798877716,1799
225,237,0.01,52,11850,-49.66,50.0,,,,0.0009960503333333334,0.16196399927139282,-5.74235725402832,-0.40621089935302734,0.23166576027870178,1849
226,238,0.01,52,11900,-49.66,50.0,,,,0.0009960336666666667,0.1543634682893753,-5.941675186157227,0.1640392541885376,0.2276911735534668,1899
226,239,0.01,52,11950,-49.66,50.0,,,,0.000996017,0.14713655412197113,-5.933084487915039,0.23529481887817383,0.28566253185272217,1949
227,240,0.01,52,12000,-49.66,50.0,,,,0.0009960003333333333,0.14022324979305267,-6.251696586608887,0.5429251194000244,0.48295101523399353,1999
228,241,0.01,52,12050,-49.66,50.0,,,,0.0009959836666666667,0.13369318842887878,-5.954353332519531,0.6288608312606812,0.24381163716316223,2049
229,242,0.01,52,12100,-49.66,50.0,,,,0.0009959670000000002,0.1275194138288498,-6.407362461090088,0.6298091411590576,0.18088388442993164,2099
230,243,0.01,52,12150,-49.66,50.0,,,,0.0009959503333333334,0.12156818062067032,-6.520129203796387,0.9301838874816895,0.22667348384857178,2149
231,244,0.01,52,12200,-49.66,50.0,,,,0.0009959336666666668,0.115840844810009,-6.5269575119018555,1.263251781463623,0.16153481602668762,2199
232,245,0.01,52,12250,-49.66,50.0,,,,0.000995917,0.11042343825101852,-6.380035400390625,1.2843464612960815,0.35470110177993774,2249
232,246,0.01,52,12300,-49.66,50.0,,,,0.0009959003333333335,0.10528552532196045,-7.11256217956543,1.9284065961837769,0.13981568813323975,2299
233,247,0.01,52,12350,-49.66,50.0,,,,0.0009958836666666667,0.10034000873565674,-6.896223068237305,1.7671103477478027,0.14159798622131348,2349
234,248,0.01,52,12400,-49.66,50.0,,,,0.0009958669999999999,0.09567747265100479,-7.065908432006836,1.8476383686065674,0.14902104437351227,2399
235,249,0.01,52,12450,-49.66,50.0,,,,0.0009958503333333333,0.09127677232027054,-7.535516262054443,1.760263442993164,0.09306278824806213,2449
236,250,0.01,52,12500,-49.98,50.0,,,,0.0009958336666666665,0.08701722323894501,-7.306813716888428,2.2079100608825684,0.18364906311035156,2499
236,251,0.01,52,12550,-49.98,50.0,,,,0.000995817,0.08303605765104294,-7.793492794036865,2.2752816677093506,0.2422039657831192,2549
237,252,0.01,53,12600,-49.98,50.0,,,,0.0009958003333333334,0.07916074991226196,-7.969331741333008,2.414722204208374,0.13199028372764587,2599
238,253,0.01,53,12650,-49.98,50.0,,,,0.0009957836666666666,0.07549857348203659,-7.738622665405273,2.6034116744995117,0.1584855020046234,2649
239,254,0.01,53,12700,-49.98,50.0,,,,0.000995767,0.07202872633934021,-7.4692792892456055,2.7475929260253906,0.10905783623456955,2699
240,255,0.01,53,12750,-49.98,50.0,,,,0.0009957503333333333,0.06873045116662979,-8.176796913146973,2.635387659072876,0.1760912388563156,2749
240,256,0.02,53,12800,-49.48,50.0,,,,0.0009957336666666667,0.06556666642427444,-7.585907936096191,3.001634359359741,0.16387449204921722,2799
241,257,0.02,53,12850,-49.48,50.0,,,,0.000995717,0.06256755441427231,-8.270438194274902,2.9723823070526123,0.24627342820167542,2849
242,258,0.02,53,12900,-49.48,50.0,,,,0.0009957003333333333,0.0596609003841877,-8.044816970825195,3.1531476974487305,0.15796275436878204,2899
243,259,0.02,53,12950,-49.48,50.0,,,,0.0009956836666666666,0.05693075805902481,-8.129693984985352,3.1692569255828857,0.15470574796199799,2949
244,260,0.02,53,13000,-49.48,50.0,,,,0.000995667,0.05432392656803131,-8.29283332824707,3.350285768508911,0.12582555413246155,2999
245,261,0.02,53,13050,-49.48,50.0,,,,0.0009956503333333334,0.051843974739313126,-8.775394439697266,3.2496418952941895,0.5481371283531189,3049
245,262,0.02,53,13100,-49.48,50.0,,,,0.0009956336666666666,0.04945934936404228,-8.048359870910645,3.843594551086426,0.10491485893726349,3099
246,263,0.02,53,13150,-49.48,50.0,,,,0.000995617,0.04723061993718147,-8.582427978515625,3.659017324447632,0.08044913411140442,3149
247,264,0.02,53,13200,-49.48,50.0,,,,0.0009956003333333333,0.045075174421072006,-8.836429595947266,3.5027694702148438,0.24100154638290405,3199
248,265,0.02,53,13250,-49.48,50.0,,,,0.0009955836666666667,0.04303169995546341,-8.920934677124023,3.3364052772521973,0.3875052034854889,3249
248,266,0.02,53,13300,-49.48,50.0,,,,0.000995567,0.04112875089049339,-9.15229606628418,3.520050525665283,0.12522763013839722,3299
249,267,0.02,53,13350,-49.48,50.0,,,,0.0009955503333333334,0.039302386343479156,-9.677388191223145,3.619053363800049,0.07084475457668304,3349
250,268,0.02,53,13400,-49.48,50.0,,,,0.0009955336666666666,0.037520334124565125,-9.043907165527344,3.544696092605591,0.19765421748161316,3399
251,269,0.02,53,13450,-49.48,50.0,,,,0.000995517,0.035857655107975006,-9.371959686279297,3.8180782794952393,0.07257378101348877,3449
252,270,0.01,53,13500,-49.5,50.0,,,,0.0009955003333333334,0.03420881927013397,-9.310925483703613,4.153105735778809,0.2008795440196991,3499
252,271,0.01,53,13550,-49.5,50.0,,,,0.0009954836666666667,0.032657690346241,-9.082204818725586,3.94272780418396,0.07216992974281311,3549
253,272,0.01,53,13600,-49.5,50.0,,,,0.000995467,0.031196312978863716,-9.363626480102539,3.998647689819336,0.05649496614933014,3599
254,273,0.01,53,13650,-49.5,50.0,,,,0.0009954503333333333,0.029812609776854515,-9.080202102661133,4.118669033050537,0.09299339354038239,3649
255,274,0.01,53,13700,-49.5,50.0,,,,0.0009954336666666667,0.028483116999268532,-8.89237117767334,3.9492721557617188,0.14129240810871124,3699
256,275,0.01,53,13750,-49.5,50.0,,,,0.000995417,0.02722664549946785,-9.275138854980469,4.259696006774902,0.10647416859865189,3749
257,276,0.01,53,13800,-49.5,50.0,,,,0.0009954003333333334,0.026016483083367348,-10.229348182678223,4.0161004066467285,0.12502174079418182,3799
257,277,0.01,53,13850,-49.5,50.0,,,,0.0009953836666666666,0.024889955297112465,-9.407632827758789,4.2746663093566895,0.17656520009040833,3849
258,278,0.01,53,13900,-49.5,50.0,,,,0.000995367,0.02379349060356617,-9.688724517822266,4.211320400238037,0.23385334014892578,3899
259,279,0.01,53,13950,-49.5,50.0,,,,0.0009953503333333333,0.022760821506381035,-9.823690414428711,4.208028793334961,0.2978023886680603,3949
260,280,0.01,53,14000,-49.5,50.0,,,,0.0009953336666666667,0.02176598459482193,-9.844955444335938,4.303574085235596,0.08609047532081604,3999
261,281,0.01,53,14050,-49.5,50.0,,,,0.0009953170000000001,0.020825758576393127,-9.90476131439209,4.3464460372924805,0.1705469787120819,4049
262,282,0.01,53,14100,-49.5,50.0,,,,0.0009953003333333333,0.019932767376303673,-10.284689903259277,4.2664618492126465,0.08817088603973389,4099
262,283,0.01,53,14150,-49.5,50.0,,,,0.0009952836666666668,0.019067859277129173,-10.220100402832031,4.2775163650512695,0.17216557264328003,4149
263,284,0.01,53,14200,-49.5,50.0,,,,0.000995267,0.01825554668903351,-9.798280715942383,4.195483684539795,0.09776601195335388,4199
264,285,0.01,53,14250,-49.5,50.0,,,,0.0009952503333333334,0.017470797523856163,-10.458093643188477,4.2975358963012695,0.07616595923900604,4249
265,286,0.01,53,14300,-49.5,50.0,,,,0.0009952336666666666,0.01670750044286251,-10.007506370544434,4.602114677429199,0.11334050446748734,4299
266,287,0.01,53,14350,-49.5,50.0,,,,0.000995217,0.01599147915840149,-10.264333724975586,4.472211837768555,0.10465417802333832,4349
266,288,0.01,53,14400,-49.5,50.0,,,,0.0009952003333333333,0.01531315129250288,-9.41500473022461,4.3648576736450195,0.3550480008125305,4399
267,289,0.01,53,14450,-49.5,50.0,,,,0.0009951836666666667,0.01468560378998518,-11.265138626098633,4.441878318786621,0.08884705603122711,4449
268,290,0.01,54,14500,-49.5,50.0,,,,0.0009951670000000001,0.0140434755012393,-10.600085258483887,4.490056037902832,0.11234037578105927,4499
269,291,0.01,54,14550,-49.5,50.0,,,,0.0009951503333333334,0.013440027832984924,-9.23544979095459,4.778782844543457,0.17387938499450684,4549
270,292,0.01,54,14600,-49.5,50.0,,,,0.0009951336666666668,0.012856882065534592,-10.941460609436035,4.2743821144104,0.11201781779527664,4599
270,293,0.01,54,14650,-49.5,50.0,,,,0.000995117,0.012316067703068256,-11.0669527053833,4.364795207977295,0.0936550572514534,4649
271,294,0.01,54,14700,-49.5,50.0,,,,0.0009951003333333334,0.011788240633904934,-11.833085060119629,4.368746280670166,0.060783501714468,4699
272,295,0.01,54,14750,-49.5,50.0,,,,0.0009950836666666667,0.011308219283819199,-9.379426956176758,4.718528747558594,0.1352018415927887,4749
273,296,0.01,54,14800,-49.5,50.0,,,,0.000995067,0.010834046639502048,-10.351181983947754,4.703532695770264,0.07655329257249832,4799
274,297,0.01,54,14850,-49.5,50.0,,,,0.0009950503333333333,0.010376624763011932,-10.865455627441406,4.761456489562988,0.19001081585884094,4849
