time/episodes,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/success_rate,time/total_timesteps,eval/success_rate,eval/mean_ep_length,eval/mean_reward,train/n_updates,train/learning_rate,train/critic_loss,train/ent_coef_loss,train/ent_coef,train/actor_loss
211,52,202,50.0,-49.66,0.01,10550,,,,549,0.0009964836666666666,0.2394586205482483,-1.8294298648834229,0.5790894627571106,-8.926589012145996
212,52,203,50.0,-49.66,0.01,10600,,,,599,0.000996467,0.2112126499414444,-2.003592014312744,0.5509738326072693,-8.807991981506348
213,52,203,50.0,-49.66,0.01,10650,,,,649,0.0009964503333333334,0.28546202182769775,-2.150729179382324,0.5242308974266052,-8.366312026977539
214,52,204,50.0,-49.66,0.01,10700,,,,699,0.0009964336666666667,0.2277209758758545,-2.3440074920654297,0.4988050162792206,-8.176652908325195
215,52,205,50.0,-49.66,0.01,10750,,,,749,0.000996417,0.34676241874694824,-2.5032131671905518,0.4746043086051941,-8.014715194702148
216,52,206,50.0,-49.66,0.01,10800,,,,799,0.0009964003333333333,0.24839168787002563,-2.6674039363861084,0.45157092809677124,-7.352809429168701
217,52,206,50.0,-49.66,0.01,10850,,,,849,0.0009963836666666667,0.44382306933403015,-2.8208017349243164,0.42965614795684814,-7.123981475830078
218,52,207,50.0,-49.66,0.01,10900,,,,899,0.000996367,0.5483142137527466,-3.0118231773376465,0.4088149964809418,-6.863217353820801
219,52,208,50.0,-49.66,0.01,10950,,,,949,0.0009963503333333334,0.26535189151763916,-3.1449317932128906,0.38898715376853943,-6.20355224609375
220,52,209,50.0,-49.66,0.01,11000,,,,999,0.0009963336666666666,0.2890542149543762,-3.3234095573425293,0.3701308071613312,-5.592950820922852
221,52,210,50.0,-49.66,0.01,11050,,,,1049,0.000996317,0.44724732637405396,-3.526482105255127,0.35219329595565796,-4.914755821228027
222,52,210,50.0,-49.66,0.01,11100,,,,1099,0.0009963003333333335,0.3926854729652405,-3.642707347869873,0.3351052701473236,-4.726568698883057
223,52,211,50.0,-49.66,0.01,11150,,,,1149,0.0009962836666666667,0.5834802985191345,-3.7983412742614746,0.3189193904399872,-4.740227222442627
224,52,212,50.0,-49.66,0.01,11200,,,,1199,0.0009962670000000001,0.2747144103050232,-3.955540657043457,0.303499698638916,-3.9173903465270996
225,52,213,50.0,-49.66,0.01,11250,,,,1249,0.0009962503333333333,0.34591326117515564,-4.071826934814453,0.28889134526252747,-3.726506471633911
226,52,213,50.0,-49.66,0.01,11300,,,,1299,0.0009962336666666668,0.502396821975708,-4.313148498535156,0.27502918243408203,-3.5564346313476562
227,52,214,50.0,-49.66,0.01,11350,,,,1349,0.000996217,0.34449946880340576,-4.395652770996094,0.26186758279800415,-2.673187255859375
