rollout/ep_len_mean,time/fps,time/episodes,time/total_timesteps,rollout/ep_rew_mean,rollout/success_rate,time/time_elapsed,eval/mean_ep_length,eval/success_rate,eval/mean_reward,train/learning_rate,train/ent_coef,train/critic_loss,train/n_updates,train/actor_loss,train/ent_coef_loss
50.0,67,192,9600,-49.24,0.02,141,,,,,,,,,
50.0,67,193,9650,-49.24,0.02,142,,,,,,,,,
50.0,68,194,9700,-49.24,0.02,142,,,,,,,,,
50.0,68,195,9750,-49.24,0.02,143,,,,,,,,,
50.0,68,196,9800,-49.24,0.02,143,,,,,,,,,
50.0,68,197,9850,-49.24,0.02,144,,,,,,,,,
50.0,68,198,9900,-49.24,0.02,144,,,,,,,,,
50.0,68,199,9950,-49.24,0.02,144,,,,,,,,,
,,,10000,,,,50.0,0.0,-50.0,,,,,,
50.0,51,200,10000,-49.24,0.02,194,,,,,,,,,
50.0,51,201,10050,-49.24,0.02,195,,,,0.000989951,0.9535025954246521,0.2516862452030182,49,-3.5169870853424072,-0.16115888953208923
50.0,51,202,10100,-49.24,0.02,196,,,,0.000989901,0.9073925614356995,0.21075423061847687,99,-4.913722991943359,-0.32561802864074707
50.0,51,203,10150,-49.24,0.02,196,,,,0.0009898510000000001,0.8635261654853821,0.19605952501296997,149,-6.1529035568237305,-0.4912099242210388
50.0,51,204,10200,-49.24,0.02,197,,,,0.000989801,0.8218034505844116,0.16415546834468842,199,-7.136801242828369,-0.6611865162849426
50.0,51,205,10250,-49.24,0.02,198,,,,0.000989751,0.7821367979049683,0.1553768813610077,249,-7.9081525802612305,-0.826147735118866
50.0,51,206,10300,-49.24,0.02,199,,,,0.0009897010000000002,0.7443692684173584,0.19829368591308594,299,-8.410858154296875,-0.9902093410491943
50.0,51,207,10350,-49.24,0.02,200,,,,0.000989651,0.7084671258926392,0.18315312266349792,349,-8.676445960998535,-1.1650445461273193
50.0,51,208,10400,-49.74,0.01,200,,,,0.000989601,0.6742761135101318,0.22275038063526154,399,-9.017739295959473,-1.3236606121063232
50.0,51,209,10450,-49.74,0.01,201,,,,0.000989551,0.6417455077171326,0.23856255412101746,449,-8.86766242980957,-1.484136700630188
50.0,51,210,10500,-49.74,0.01,202,,,,0.000989501,0.6108524203300476,0.16132667660713196,499,-8.96963882446289,-1.647087574005127
50.0,51,211,10550,-49.74,0.01,203,,,,0.000989451,0.581451416015625,0.18259841203689575,549,-8.774962425231934,-1.8078131675720215
50.0,51,212,10600,-49.74,0.01,204,,,,0.000989401,0.5534749627113342,0.19511070847511292,599,-9.042064666748047,-1.988922357559204
50.0,51,213,10650,-49.74,0.01,204,,,,0.000989351,0.5268589854240417,0.17872607707977295,649,-8.401280403137207,-2.1392288208007812
50.0,52,214,10700,-49.74,0.01,205,,,,0.000989301,0.5015180706977844,0.18291041254997253,699,-7.98011589050293,-2.3101139068603516
50.0,52,215,10750,-49.74,0.01,206,,,,0.000989251,0.47740501165390015,0.2681327164173126,749,-7.893014907836914,-2.4685921669006348
50.0,52,216,10800,-49.74,0.01,207,,,,0.000989201,0.4544385075569153,0.36485862731933594,799,-7.115746021270752,-2.631897211074829
50.0,52,217,10850,-49.74,0.01,207,,,,0.000989151,0.43259793519973755,0.5489839315414429,849,-7.198236465454102,-2.798647403717041
50.0,52,218,10900,-49.74,0.01,208,,,,0.000989101,0.411816269159317,0.28869345784187317,899,-6.427644729614258,-2.976663827896118
50.0,52,219,10950,-49.74,0.01,209,,,,0.0009890510000000001,0.39205029606819153,0.19505099952220917,949,-6.2871317863464355,-3.1173553466796875
50.0,52,220,11000,-49.74,0.01,210,,,,0.000989001,0.3732074201107025,0.46251267194747925,999,-5.43691873550415,-3.30100679397583
50.0,52,221,11050,-49.74,0.01,211,,,,0.000988951,0.3552922308444977,0.365780770778656,1049,-5.237382888793945,-3.4386467933654785
50.0,52,222,11100,-49.74,0.01,211,,,,0.0009889010000000001,0.33827972412109375,0.5224510431289673,1099,-4.827184200286865,-3.5362303256988525
50.0,52,223,11150,-49.74,0.01,212,,,,0.000988851,0.322159081697464,0.3925990164279938,1149,-4.448591232299805,-3.7869231700897217
50.0,52,224,11200,-49.74,0.01,213,,,,0.000988801,0.30677908658981323,0.2838440239429474,1199,-3.7915806770324707,-3.9568395614624023
50.0,52,225,11250,-49.74,0.01,214,,,,0.0009887510000000002,0.29214921593666077,0.6234868764877319,1249,-3.3319454193115234,-4.043964385986328
50.0,52,226,11300,-49.74,0.01,214,,,,0.000988701,0.2781955897808075,0.46672308444976807,1299,-3.2723805904388428,-4.205265045166016
50.0,52,227,11350,-49.74,0.01,215,,,,0.000988651,0.2650741934776306,0.46043920516967773,1349,-2.454987049102783,-4.218937873840332
50.0,52,228,11400,-49.74,0.01,216,,,,0.000988601,0.25252777338027954,0.35284894704818726,1399,-2.4966061115264893,-4.488478660583496
