time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,rollout/success_rate,eval/mean_reward,eval/success_rate,eval/mean_ep_length,train/actor_loss,train/learning_rate,train/n_updates,train/ent_coef_loss,train/ent_coef,train/critic_loss
264,245,13200,50.0,53,-50.0,0.0,,,,3.808159112930298,0.0009956003333333333,3199,-8.728517532348633,0.045700397342443466,0.15239810943603516
265,246,13250,50.0,53,-50.0,0.0,,,,3.952317476272583,0.0009955836666666667,3249,-9.062232971191406,0.043681323528289795,0.1007407009601593
266,247,13300,50.0,53,-50.0,0.0,,,,4.461877822875977,0.000995567,3299,-8.264873504638672,0.04170835763216019,0.145424023270607
267,248,13350,50.0,53,-50.0,0.0,,,,4.485626697540283,0.0009955503333333334,3349,-8.80692195892334,0.03986712545156479,0.20113392174243927
268,249,13400,50.0,53,-50.0,0.0,,,,4.150609016418457,0.0009955336666666666,3399,-9.177526473999023,0.03808215633034706,0.18659451603889465
269,249,13450,50.0,53,-50.0,0.0,,,,4.441895008087158,0.000995517,3449,-9.013717651367188,0.03633071109652519,0.5523938536643982
270,250,13500,50.0,53,-50.0,0.0,,,,4.566129207611084,0.0009955003333333334,3499,-8.498659133911133,0.03472655266523361,0.1417262852191925
271,251,13550,50.0,53,-50.0,0.0,,,,4.5015459060668945,0.0009954836666666667,3549,-9.28071117401123,0.033125050365924835,0.26095864176750183
272,252,13600,50.0,53,-50.0,0.0,,,,4.651355743408203,0.000995467,3599,-8.929891586303711,0.03164050355553627,0.24629193544387817
273,253,13650,50.0,53,-50.0,0.0,,,,4.391600608825684,0.0009954503333333333,3649,-8.970888137817383,0.030241981148719788,0.2666894793510437
274,254,13700,50.0,53,-50.0,0.0,,,,4.5015482902526855,0.0009954336666666667,3699,-10.169794082641602,0.028910575434565544,0.13125739991664886
275,254,13750,50.0,53,-50.0,0.0,,,,4.569490909576416,0.000995417,3749,-10.209772109985352,0.027606459334492683,0.11565859615802765
276,255,13800,50.0,53,-50.0,0.0,,,,4.366497993469238,0.0009954003333333334,3799,-9.48364543914795,0.02640661410987377,0.15359175205230713
277,256,13850,50.0,53,-50.0,0.0,,,,4.700634956359863,0.0009953836666666666,3849,-9.38283920288086,0.025239108130335808,0.081844761967659
278,257,13900,50.0,54,-50.0,0.0,,,,4.547126293182373,0.000995367,3899,-10.027881622314453,0.02410029247403145,0.13586369156837463
279,258,13950,50.0,54,-50.0,0.0,,,,4.743786334991455,0.0009953503333333333,3949,-10.221356391906738,0.023056136444211006,0.14461298286914825
280,258,14000,50.0,54,-50.0,0.0,,,,4.889610767364502,0.0009953336666666667,3999,-8.971521377563477,0.022019142284989357,0.14705924689769745
281,259,14050,50.0,54,-50.0,0.0,,,,4.662008762359619,0.0009953170000000001,4049,-9.498656272888184,0.021039752289652824,0.1420116424560547
282,260,14100,50.0,54,-50.0,0.0,,,,4.667593002319336,0.0009953003333333333,4099,-9.946439743041992,0.020124899223446846,0.19607894122600555
283,261,14150,50.0,54,-50.0,0.0,,,,4.783751010894775,0.0009952836666666668,4149,-9.484504699707031,0.01923656277358532,0.09484999626874924
284,262,14200,50.0,54,-50.0,0.0,,,,4.6327409744262695,0.000995267,4199,-8.89480972290039,0.01840723305940628,0.14410367608070374
285,262,14250,50.0,54,-50.0,0.0,,,,4.749157905578613,0.0009952503333333334,4249,-9.712129592895508,0.01763770543038845,0.08811213821172714
286,263,14300,50.0,54,-50.0,0.0,,,,4.921287536621094,0.0009952336666666666,4299,-9.333282470703125,0.016851253807544708,0.17390599846839905
287,264,14350,50.0,54,-50.0,0.0,,,,4.820655822753906,0.000995217,4349,-9.856849670410156,0.01613614894449711,0.12072279304265976
288,265,14400,50.0,54,-50.0,0.0,,,,4.727261543273926,0.0009952003333333333,4399,-9.381119728088379,0.015435821376740932,0.19934850931167603
289,266,14450,50.0,54,-50.0,0.0,,,,4.665156364440918,0.0009951836666666667,4449,-9.633893966674805,0.014809643849730492,0.13779188692569733
